全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332071,0000000045,岡山県井原市,西江原公民館,,,332071,,岡山県井原市西江原町1414,岡山県,井原市,西江原町,1414,,34.600474,133.486432,,,入口付近,,,,,,,,,火水木金土,09:00,17:00,年末年始休業（12/29〜1/3）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000046,岡山県井原市,野上公民館,,,332071,,岡山県井原市野上町3107-4,岡山県,井原市,野上町,3107-4,,34.642743,133.500967,,,事務所内,,,,,,,,,火水木金,08:30,17:30,年末年始休業（12/29〜1/3）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000047,岡山県井原市,青野公民館,,,332071,,岡山県井原市青野町3393,岡山県,井原市,青野町,3393,,34.624793,133.470751,,,玄関靴箱上,,,,,,,,,火水木金,08:30,17:30,年末年始休業（12/29〜1/3）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000048,岡山県井原市,井原公民館,,,332071,,岡山県井原市井原町1243-1,岡山県,井原市,井原町,1243-1,,34.603993,133.460265,,,玄関ロビー,,,,,,,,,火水木金土,09:00,17:15,年末年始休業（12/29〜1/4）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000049,岡山県井原市,出部公民館,,,332071,,岡山県井原市上出部町1219-2,岡山県,井原市,上出部町,1219-2,,34.591342,133.459470,,,事務所内,,,,,,,,,月火水木金,09:00,18:00,年末年始休業（12/29〜1/3）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000052,岡山県井原市,井原市グラウンド・ゴルフ場,,,332071,,岡山県井原市上出部町四季が丘20-2,岡山県,井原市,上出部町四季が丘,20-2,,34.585123,133.466168,,,事務室,,,,,,,,,火水木金土日,09:00,17:00,月曜日が祝日の場合はその翌日が休館、年末年始（12月28日～1月4日）休館,,,,,,,,外部の使用を条件付で認める。条件: 開館時間のみ
332071,0000000054,岡山県井原市,井原市地場産業振興センター,,,332071,,岡山県井原市七日市町10,岡山県,井原市,七日市町,10,,34.596086,133.467942,,,施設ロビー内,,,,,,,,,月火水木金,08:30,17:15,年末年始12月29日から1月3日まで休業,,,,,,,,
332071,0000000056,岡山県井原市,井原市ふれあいセンター,,,332071,,岡山県井原市神代町2192-1,岡山県,井原市,神代町,2192-1,,34.600866,133.522118,,,事務室,,,,,,,,,月火水木金土,09:00,17:30,年末年始休業（12/28〜1/4）,,,,,,,,外部の使用を条件付で認める。条件: 開館時間内に限ります。職員に声をかけてください。
332071,0000000057,岡山県井原市,井原バスセンター,,,332071,,岡山県井原市井原町700-1,岡山県,井原市,井原町,700-1,,34.601411,133.465369,,,井原バスセンター1階　乗車券発売所カウンター,,,,,,,,,月火水木金土日,07:00,20:00,盆・年末年始期間は臨時ダイヤにて運行するため「使用可能時間帯」を変更する可能性があります。,,,,,,,,
332071,0000000058,岡山県井原市,井原リフレッシュ公園,,,332071,,岡山県井原市大江町1419-2,岡山県,井原市,大江町,1419-2,,34.580505,133.445576,,,井原リフレッシュ公園管理棟,,,,,,,,,月火水木金土日,00:00,24:00,常時施錠しているため、貸館可能な時間のみ利用可能,,,,,,,,外部の使用を条件付で認める。条件: 開館時間のみ
332071,0000000059,岡山県井原市,井原図書館,,,332071,,岡山県井原市井原町1260-1,岡山県,井原市,井原町,1260-1,,34.605025,133.461484,,,1階カウンター,,,,,,,,,火水木金土日,10:00,18:00,休館日　月曜日、火曜日〜金曜日までの国民の祝日、年末年始（12月28日〜1月4日）、蔵書点検期間（年1回）,,,,,,,,
332071,0000000061,岡山県井原市,井原市やすらぎセンター,,,332071,,岡山県井原市西江原町2936-1,岡山県,井原市,西江原町,2936-1,,34.601980,133.482905,,,センター内,,,,,,,,,月火水木金土,08:00,17:15,使用可能時間外でも館内に職員がいる場合は使用可能です。,,,,,,,,
332071,0000000062,岡山県井原市,芳井健康増進福祉施設,,,332071,,岡山県井原市芳井町吉井3996,岡山県,井原市,芳井町吉井,3996,,34.624543,133.433245,,,施設1階受付カウンター,,,,,,,,,月火水木土日,10:00,22:00,年末年始12月29日から1月3日まで休業,,,,,,,,
332071,0000000063,岡山県井原市,芳井小学校,,,332071,,岡山県井原市芳井町吉井4114-1,岡山県,井原市,芳井町吉井,4114-1,,34.628331,133.433012,,,職員室,,,,,,,,,月火水木金,08:15,16:45,,,,,,,,,
332071,0000000064,岡山県井原市,芳井中学校,,,332071,,岡山県井原市芳井町吉井4052,岡山県,井原市,芳井町吉井,4052,,34.627243,133.432718,,,職員室,,,,,,,,,月火水木金,08:00,17:00,年末年始12月28日から1月3日まで休業,,,,,,,,
332071,0000000065,岡山県井原市,芳井保育園,,,332071,,岡山県井原市芳井町吉井3670,岡山県,井原市,芳井町吉井,3670,,34.624070,133.426000,,,職員室,,,,,,,,,月火水木金土日,00:00,24:00,,,,,,,,,
332071,0000000068,岡山県井原市,芳井公民館,,,332071,,岡山県井原市芳井町吉井4103-2,岡山県,井原市,芳井町吉井,4103-2,,34.629105,133.432871,,,老人福祉センター1階事務所内,,,,,,,,,月火水木金,09:00,17:00,年末年始は12月28日から1月4日まで休館,,,,,,,,
332071,0000000070,岡山県井原市,芳井公民館　明治分館,,,332071,,岡山県井原市芳井町種603-3,岡山県,井原市,芳井町種,603-3,,34.671252,133.455076,,,事務所内,,,,,,,,,,,,分館利用者が使用する目的で設置しているため、分館利用時のみ使用可能,,,,,,,,
332071,0000000071,岡山県井原市,芳井公民館　共和分館,,,332071,,岡山県井原市芳井町下鴫2546,岡山県,井原市,芳井町下鴫,2546,,34.686093,133.407272,,,事務所内,,,,,,,,,,,,分館利用者が使用する目的で設置しているため、分館利用時のみ使用可能,,,,,,,,
332071,0000000072,岡山県井原市,芳井公民館　三原分館,,,332071,,岡山県井原市芳井町西三原1299-1,岡山県,井原市,芳井町西三原,1299-1,,34.717337,133.392989,,,玄関,,,,,,,,,,,,分館利用者が使用する目的で設置しているため、分館利用時のみ使用可能,,,,,,,,
332071,0000000073,岡山県井原市,芳井支所,,,332071,,岡山県井原市芳井町吉井253-1,岡山県,井原市,芳井町吉井,253-1,,34.632495,133.432415,,,井原市芳井支所庁舎1階ロビー,,,,,,,,,月火水木金,08:30,17:15,年末年始12月29日から1月3日まで休業,,,,,,,,
332071,0000000074,岡山県井原市,B&G美星海洋センター,,,332071,,岡山県井原市美星町星田2-14,岡山県,井原市,美星町星田,2-14,,34.675926,133.526840,,,事務所,,,,,,,,,火水木金土日,09:00,17:00,月曜日が祝日の場合はその翌日が休館・年末年始　12月28日から1月4日まで休館,,,,,,,,外部の使用を条件付で認める。条件: 開館時間のみ
332071,0000000075,岡山県井原市,美星小学校,,,332071,,岡山県井原市美星町西水砂20,岡山県,井原市,美星町西水砂,20,,34.672230,133.532923,,,職員室南側出入口（室内）,,,,,,,,,月火水木金,08:15,16:45,年末年始12月28日から1月3日まで閉庁,,,,,,,,
332071,0000000076,岡山県井原市,美星中学校,,,332071,,岡山県井原市美星町星田1,岡山県,井原市,美星町星田,1,,34.676972,133.529328,,,正面玄関を入って右手（保健室前）,,,,,,,,,月火水木金,08:15,16:45,年末年始12月28日から1月3日まで閉庁,,,,,,,,
