全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332101,0000000051,岡山県新見市,大佐子育て広場,,,332101,,岡山県新見市大佐小阪部1482-1,岡山県,新見市,大佐小阪部,1482-1,,35.079908,133.566281,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000052,岡山県新見市,大佐中学校,,,332101,,岡山県新見市大佐永富1745,岡山県,新見市,大佐永富,1745,,35.079114,133.569082,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000053,岡山県新見市,刑部小学校,,,332101,,岡山県新見市大佐永富1592,岡山県,新見市,大佐永富,1592,,35.081186,133.571436,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000054,岡山県新見市,大佐山オートキャンプ場,,,332101,,岡山県新見市大佐小南1,岡山県,新見市,大佐小南,1,,35.075319,133.550287,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000055,岡山県新見市,平松館,,,332101,,岡山県新見市大佐小南480,岡山県,新見市,大佐小南,480,,35.063261,133.563492,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000056,岡山県新見市,大佐公民館大井野分館,,,332101,,岡山県新見市大佐大井野1057-4,岡山県,新見市,大佐大井野,1057-4,,35.141816,133.504140,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000057,岡山県新見市,神代認定こども園,,,332101,,岡山県新見市神郷下神代3952,岡山県,新見市,神郷下神代,3952,,34.993481,133.396075,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000058,岡山県新見市,新見市神郷支局,,,332101,,岡山県新見市神郷下神代3936,岡山県,新見市,神郷下神代,3936,,34.992441,133.397357,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000059,岡山県新見市,神代診療所,,,332101,,岡山県新見市神郷下神代3946,岡山県,新見市,神郷下神代,3946,,34.992456,133.396332,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000060,岡山県新見市,神代小学校,,,332101,,岡山県新見市神郷下神代3571-1,岡山県,新見市,神郷下神代,3571-1,,34.987986,133.385514,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000061,岡山県新見市,紙の館・水車,,,332101,,岡山県新見市神郷下神代1977-1,岡山県,新見市,神郷下神代,1977-1,,34.986687,133.387081,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000062,岡山県新見市,新郷市民センター,,,332101,,岡山県新見市神郷釜村1185-1,岡山県,新見市,神郷釜村,1185-1,,35.089872,133.368299,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000063,岡山県新見市,神郷北小学校,,,332101,,岡山県新見市神郷釜村1281,岡山県,新見市,神郷釜村,1281,,35.089603,133.373515,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000064,岡山県新見市,グリーンミュージアム神郷温泉,,,332101,,岡山県新見市神郷高瀬3188-1,岡山県,新見市,神郷高瀬,3188-1,,35.080342,133.345051,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000065,岡山県新見市,本郷小学校,,,332101,,岡山県新見市哲多町本郷672,岡山県,新見市,哲多町本郷,672,,34.938164,133.451088,,,,,,,,,,,,,,,,,,,,,,,
